taxon_input,accepted_name,aphia_id,rank,pocillopora_association,functional_role_str,max_length_final_mm,CommonLength,max_length_source,depth_min_final,depth_max_final,depth_source,trophic_level,trophic_se,Vulnerability,data_source,SpecCode,n_obis_records,n_sources
Rissoina,Rissoina,138457,genus,unknown,unknown,NA,NA,other,3,4,OBIS,NA,NA,NA,NA,NA,1,2
Scorpaenodes,Scorpaenodes,126172,genus,unknown,unknown,NA,NA,other,1,3.5,OBIS,NA,NA,NA,NA,NA,2,2
Trivirostra,Trivirostra,206759,genus,unknown,unknown,NA,NA,other,5,304,OBIS,NA,NA,NA,NA,NA,4,2
Unciola,Unciola,101474,genus,unknown,unknown,NA,NA,other,36,1276,OBIS,NA,NA,NA,NA,NA,8,2
Vexillum,Vexillum,137846,genus,unknown,unknown,NA,NA,other,0,5,OBIS,NA,NA,NA,NA,NA,2,2
Zafra,Zafra,182802,genus,unknown,unknown,NA,NA,other,4,25,OBIS,NA,NA,NA,NA,NA,3,2
Alpheidae,Alpheidae,106776,family,facultative,commensal; bioeroder,NA,NA,other,0,59,OBIS,NA,NA,NA,NA,NA,3,2
Amphinomidae,Amphinomidae,960,family,unknown,unknown,NA,NA,other,0,339,OBIS,NA,NA,NA,NA,NA,10,2
Axiidae,Axiidae,106798,family,unknown,unknown,NA,NA,other,0,640,OBIS,NA,NA,NA,NA,NA,4,2
Capitellidae,Capitellidae,921,family,unknown,unknown,NA,NA,other,0,1011,OBIS,NA,NA,NA,NA,NA,7,2
Columbellidae,Columbellidae,23009,family,unknown,unknown,NA,NA,other,0,130,OBIS,NA,NA,NA,NA,NA,5,2
Cypraeidae,Cypraeidae,23022,family,unknown,unknown,NA,NA,other,4.6,15.5,OBIS,NA,NA,NA,NA,NA,8,2
Diogenidae,Diogenidae,106736,family,unknown,unknown,NA,NA,other,-1,12,OBIS,NA,NA,NA,NA,NA,5,2
Eunicidae,Eunicidae,966,family,unknown,unknown,NA,NA,other,0,91,OBIS,NA,NA,NA,NA,NA,5,2
Galatheidae,Galatheidae,106733,family,unknown,unknown,NA,NA,other,10,5774,OBIS,NA,NA,NA,NA,NA,8,2
Glyceridae,Glyceridae,952,family,unknown,unknown,NA,NA,other,51.7,155,OBIS,NA,NA,NA,NA,NA,4,2
Gobiidae,Gobiidae,125537,family,facultative,commensal,NA,NA,other,4,59,OBIS,NA,NA,NA,NA,NA,6,2
Hesionidae,Hesionidae,946,family,unknown,unknown,NA,NA,other,0,2774,OBIS,NA,NA,NA,NA,NA,5,2
Hippolytidae,Hippolytidae,106777,family,unknown,unknown,NA,NA,other,0,37,OBIS,NA,NA,NA,NA,NA,10,2
Hipponicidae,Hipponicidae,23057,family,unknown,unknown,NA,NA,other,-0.73,0,OBIS,NA,NA,NA,NA,NA,2,2
Labridae,Labridae,125541,family,unknown,unknown,NA,NA,other,3,61.9,OBIS,NA,NA,NA,NA,NA,9,2
Leucothoidae,Leucothoidae,101393,family,unknown,unknown,NA,NA,other,55,122,OBIS,NA,NA,NA,NA,NA,2,2
Majidae,Majidae,106760,family,unknown,unknown,NA,NA,other,3,277,OBIS,NA,NA,NA,NA,NA,4,2
Marginellidae,Marginellidae,23025,family,unknown,unknown,NA,NA,other,0.3000000119,85,OBIS,NA,NA,NA,NA,NA,3,2
Melitidae,Melitidae,101397,family,unknown,unknown,NA,NA,other,0,61,OBIS,NA,NA,NA,NA,NA,5,2
Muricidae,Muricidae,148,family,unknown,unknown,NA,NA,other,5.2,296,OBIS,NA,NA,NA,NA,NA,3,2
Nereididae,Nereididae,22496,family,unknown,unknown,NA,NA,other,0,117,OBIS,NA,NA,NA,NA,NA,5,2
Opheliidae,Opheliidae,924,family,unknown,unknown,NA,NA,other,7,446,OBIS,NA,NA,NA,NA,NA,6,2
Paguridae,Paguridae,106738,family,unknown,unknown,NA,NA,other,4.9,106,OBIS,NA,NA,NA,NA,NA,6,2
Palaemonidae,Palaemonidae,106788,family,unknown,unknown,NA,NA,other,0,45,OBIS,NA,NA,NA,NA,NA,6,2
Phyllodocidae,Phyllodocidae,931,family,unknown,unknown,NA,NA,other,4,291,OBIS,NA,NA,NA,NA,NA,6,2
Pilumnidae,Pilumnidae,106766,family,unknown,unknown,NA,NA,other,22,33,OBIS,NA,NA,NA,NA,NA,4,2
Polynoidae,Polynoidae,939,family,unknown,unknown,NA,NA,other,5,117.99,OBIS,NA,NA,NA,NA,NA,8,2
Spionidae,Spionidae,913,family,unknown,unknown,NA,NA,other,0,117,OBIS,NA,NA,NA,NA,NA,7,2
Syllidae,Syllidae,948,family,unknown,unknown,NA,NA,other,10,2273,OBIS,NA,NA,NA,NA,NA,8,2
Terebellidae,Terebellidae,982,family,unknown,unknown,NA,NA,other,-1,357,OBIS,NA,NA,NA,NA,NA,7,2
Triphoridae,Triphoridae,131,family,unknown,unknown,NA,NA,other,10,11,OBIS,NA,NA,NA,NA,NA,2,2
Trochidae,Trochidae,443,family,unknown,unknown,NA,NA,other,-1.62,35.7,OBIS,NA,NA,NA,NA,NA,5,2
Xanthidae,Xanthidae,106769,family,unknown,unknown,NA,NA,other,36.58,327,OBIS,NA,NA,NA,NA,NA,2,2
Coralliophilinae,Coralliophilinae,411789,subfamily,unknown,unknown,NA,NA,other,1,255,OBIS,NA,NA,NA,NA,NA,7,2
Ophiolepis cincta cincta,Ophiolepis cincta cincta,224123,subspecies,unknown,unknown,NA,NA,other,1,25,OBIS,NA,NA,NA,NA,NA,6,2
